T = 1.5707963267948966
0.01 9.1e-04 3.5e-04 1.8e-04 1.2e-04 8.5e-05 6.3e-05 4.8e-05
0.02 1.8e-03 6.8e-04 3.4e-04 2.3e-04 1.7e-04 1.2e-04 9.4e-05
0.03 2.6e-03 9.9e-04 5.0e-04 3.4e-04 2.4e-04 1.8e-04 1.4e-04
0.04 3.4e-03 1.3e-03 6.4e-04 4.3e-04 3.1e-04 2.3e-04 1.8e-04
0.05 4.2e-03 1.5e-03 7.8e-04 5.3e-04 3.7e-04 2.8e-04 2.1e-04
0.06 5.0e-03 1.8e-03 9.1e-04 6.1e-04 4.3e-04 3.2e-04 2.5e-04
0.07 5.7e-03 2.0e-03 1.0e-03 6.9e-04 4.9e-04 3.6e-04 2.8e-04
0.08 6.4e-03 2.2e-03 1.1e-03 7.7e-04 5.5e-04 4.0e-04 3.1e-04
0.09 7.1e-03 2.5e-03 1.3e-03 8.4e-04 6.0e-04 4.4e-04 3.4e-04
0.10 7.8e-03 2.7e-03 1.4e-03 9.1e-04 6.4e-04 4.8e-04 3.7e-04
