T = 1.5707963267948966 2 3 4 5 6 7 8

0.01 4.8e-04 1.5e-04 9.8e-05 5.2e-05 7.1e-05 7.9e-05 1.6e-04
0.02 9.3e-04 3.0e-04 1.9e-04 9.9e-05 1.4e-04 1.5e-04 3.0e-04
0.03 1.4e-03 4.3e-04 2.8e-04 1.4e-04 2.0e-04 2.2e-04 4.4e-04
0.04 1.8e-03 5.6e-04 3.6e-04 1.8e-04 2.6e-04 2.8e-04 5.6e-04
0.05 2.2e-03 6.8e-04 4.3e-04 2.2e-04 3.1e-04 3.4e-04 6.8e-04
0.06 2.6e-03 8.0e-04 5.0e-04 2.5e-04 3.6e-04 3.9e-04 7.9e-04
0.07 2.9e-03 9.1e-04 5.7e-04 2.8e-04 4.1e-04 4.4e-04 9.0e-04
0.08 3.3e-03 1.0e-03 6.3e-04 3.1e-04 4.5e-04 4.9e-04 9.9e-04
0.09 3.6e-03 1.1e-03 7.0e-04 3.4e-04 4.9e-04 5.3e-04 1.1e-03
0.10 3.9e-03 1.2e-03 7.5e-04 3.6e-04 5.3e-04 5.8e-04 1.2e-03
