 0 0 0 0 0
0.01 0.00035684137226110746 0.004712834181917147 0.004318343385558421 0.005099687348123161 8.2e-03
0.02 0.0004951752064890624 0.004493513032863883 0.004100505860120063 0.004774575315949714 7.7e-03
0.03 0.0006395904777575234 0.00431090844334836 0.003936759657894362 0.004505162202569468 7.4e-03
0.04 0.0007891378971290886 0.004168847975756618 0.0038207954317042714 0.00428686264372824 7.1e-03
0.05 0.0009431143000754316 0.004071323378283143 0.0037462948749125147 0.004115572558345049 7.0e-03
0.06 0.0011007995850014218 0.004021748717303486 0.0037069903216636613 0.003987184750154582 6.9e-03
0.07 0.0012613756062072046 0.004023474361430468 0.003696659936930635 0.00389785270934917 6.8e-03
0.08 0.001423921962132202 0.004079551787409208 0.003708233966986163 0.003843877543264096 6.9e-03
0.09 0.0015875585044170526 0.004192674835554189 0.0037351627340658777 0.0038216275898190766 7.0e-03
0.10 0.0017512790435248449 0.004365513605802451 0.003770189273331781 0.00382773843005324 7.1e-03
