T = 1.5707963267948966
0.01 6.0e-04 2.2e-04 1.8e-04 1.7e-04 2.8e-04 5.3e-04 1.1e-03
0.02 1.2e-03 4.2e-04 3.4e-04 3.3e-04 5.4e-04 1.0e-03 2.2e-03
0.03 1.7e-03 6.2e-04 4.9e-04 4.8e-04 7.9e-04 1.5e-03 3.2e-03
0.04 2.2e-03 8.0e-04 6.3e-04 6.1e-04 1.0e-03 1.9e-03 4.1e-03
0.05 2.7e-03 9.6e-04 7.7e-04 7.4e-04 1.2e-03 2.3e-03 5.0e-03
0.06 3.2e-03 1.1e-03 8.9e-04 8.6e-04 1.4e-03 2.7e-03 5.8e-03
0.07 3.6e-03 1.3e-03 1.0e-03 9.7e-04 1.6e-03 3.0e-03 6.5e-03
0.08 4.1e-03 1.4e-03 1.1e-03 1.1e-03 1.8e-03 3.3e-03 7.2e-03
0.09 4.5e-03 1.5e-03 1.2e-03 1.2e-03 2.0e-03 3.6e-03 7.9e-03
0.10 4.9e-03 1.7e-03 1.3e-03 1.2e-03 2.1e-03 3.9e-03 8.5e-03
